state,individualratio,smallgroupratio,individualtransfers,smallgrouptransfers,individualmm,smallgroupmm,PLRSindividual2015,PLRSsmallgroup2015,PLRSindividual2016,PLRSsmallgroup2016
MT,11.34266586,8.140310305,11027294.38,4309341.89,972196,529383,1.416488574,1.148116742,1.355355561,1.080907512
NC,15.77201527,9.797788739,136341422.6,31991700.6,8644515,3265196,1.724583272,1.366046893,1.724208723,1.279586738
ND,5.206375059,1.508199873,3433807.4,1135644.34,659539,752980,1.394773581,1.21234743,1.428640107,1.204067236
NE,30.15848014,18.85002309,47671509.55,17831254.74,1580700,945954,1.463438074,1.148081597,1.55191948,1.18692144
NH,31.18817324,10.97428351,23449233.5,9383231.89,751863,855020,1.417988385,1.297343823,1.618487946,1.261405168
NJ,59.03755393,16.24257555,216567341,96539063.44,3668298,5943581,1.625919981,1.458963994,1.679712853,1.458127865
NM,30.79708613,15.57629318,28293252.23,10105883.44,918699,648799,1.558972107,1.340476663,1.547525908,1.375227864
NV,29.97646752,14.6013498,47644117.85,15045289.24,1589384,1030404,1.559421744,1.263187174,1.542141173,1.228042797
NY,73.3302924,54.57458934,459597754.3,683992496.7,6267502,12533168,1.730549046,1.803115272,1.816,1.774265106
OH,26.67329576,5.660169004,118240933,50049540.66,4432933,8842411,1.756038119,1.556313026,1.742430136,1.494916424
OK,4.331705508,4.577270352,9421333.86,9514167.68,2174971,2078568,1.716492403,1.560154422,1.834812913,1.468539637
OR,24.97735061,11.02127501,70745548.15,23228725.76,2832388,2107626,1.445386453,1.234794818,1.382757739,1.242648885
PA,37.74936984,7.146677565,284709069.3,63973226.94,7542088,8951464,1.761896069,1.53514987,1.750240644,1.51417265
RI,38.21106933,18.06083854,19360517.13,13437643.15,506673,744021,1.702144685,1.692746706,1.597071177,1.582918538
SC,12.7339735,7.493174559,36455532.45,9791623.43,2862856,1306739,1.761573658,1.362477159,1.861679963,1.30575985
SD,8.373547642,6.146161203,7748579.54,3584158.49,925364,583154,1.616370288,1.316480179,1.593022843,1.224323955
TN,13.9111491,4.360182775,51297918.76,15770362.52,3687540,3616904,1.923786406,1.431673703,1.901104016,1.369615732
TX,15.24634513,2.410595424,261467043.4,34532213.36,17149490,14325180,1.657992675,1.411784828,1.616722101,1.3656088
UT,24.74005158,2.883695497,69756802.04,7349141.23,2819590,2548515,1.454601087,1.255215117,1.422474566,1.176627572
VA,21.68332177,21.22252284,134040158.8,95627966.33,6181717,4505966,1.541018772,1.321431992,1.629689115,1.312503065
WA,34.39718137,19.24367537,134060159.4,57123637.98,3897417,2968437,1.450814095,1.315605602,1.453968729,1.247723224
WI,24.65995342,9.220769751,68361928.32,35857535.77,2772184,3888779,1.75950637,1.301614402,1.704538943,1.246701399
WV,1.466528669,6.503667781,765513.3,3809146.19,521990,585692,1.989958077,1.470535457,2.051467813,1.560030923
WY,16.11506803,9.63754781,5424557.51,2492048.2,336614,258577,1.514807522,1.116378991,1.630650252,1.12950742
