,MM_individual,Premium_individual,Costs_individual,Transfers_individual,Premium_individual_pmm,Costs_individual_pmm,Transfers_individual_pmm
56,5746687.0,2103117282.0,1938962494.0,135212707.6,365.9703898959522,337.40527263795644,23.528810182284158
57,141014.0,60268718.32,29949706.93,-16711278.79,427.3952821705646,212.38818081892578,-118.50794098458309
58,104223.0,40220929.0,71930149.0,17743436.54,385.9122170730069,690.1561939303225,170.24492233000393
59,9787.0,5141306.0,8923224.0,1753287.86,525.3199141718607,911.7425155818944,179.14456523960357
60,15120.0,6988341.0,6495642.0,-318460.38,462.1918650793651,429.6059523809524,-21.062194444444444
61,,,,,,,
62,670834.0,229515619.0,341244349.0,53801059.26,342.1347442139188,508.6867227958034,80.20025708297432
63,2002237.0,653074515.0,476139478.0,-100186993.9,326.1724336329815,237.80375549947385,-50.03752997272551
64,,,,,,,
65,5935591.0,2273510519.0,2044153218.0,98811448.39,383.0301850312799,344.38916326950425,16.647280513431603
66,,,,,,,
67,240012.0,66111108.0,47084780.0,-31742828.09,275.44917754112294,196.1767744946086,-132.25517094978585
68,71865.0,20990525.0,8163374.0,-9072047.23,292.0827245529813,113.59318166005706,-126.23735100535727
69,122265.0,48589226.0,63015430.38,10432568.53,397.4091195354353,515.400403876825,85.32751425183004
70,351232.0,104985608.0,197653699.0,19393416.27,298.9067283163265,562.7439954218295,55.21540255443695
71,1478.0,126043.26,48046.62014,,85.27960757780785,32.507862070365356,
72,5622.0,2881887.45,3398138.4,,512.6089381003202,604.4358591248666,
73,12461.0,5995770.22,6042728.3,,481.16284567851693,484.9312494984351,
74,40958.0,17648512.71,23285629.43,2576272.04,430.89293202793107,568.5245722447385,62.900337907124374
75,1794.0,960626.99,1661246.86,481970.65,535.4665496098105,926.0015942028986,268.6569955406912
76,73019.0,29192161.0,43386898.0,10208969.51,399.78856188115424,594.1864172338707,139.8125078404251
77,63856.0,23273256.0,29458165.0,-4578461.04,364.4646705086445,461.3218021799048,-71.6997782510649
78,144312.0,53792423.77,67902479.91,-4393875.95,372.7508715144964,470.52552739896885,-30.447058803148735
79,5526.0,1886324.0,4647051.0,2412384.6,341.3543250090481,840.942996742671,436.5516829533116
80,139712.0,49887492.56,54875780.77,261875.8,357.0737843563903,392.77786281779663,1.8743973316536875
81,205949.0,47543279.95,55236205.29,4731745.94,230.84977324483248,268.20331873424976,22.975328552214386
82,195438.0,42583478.25,31808594.15,1264744.68,217.8874029103859,162.75542192408844,6.471334540877414
83,819397.0,253676763.0,219954806.0,-33664830.89,309.58956769429227,268.43496620075496,-41.084884238043344
84,,,,,,,
85,921.0,486058.0,826272.0,99152.72,527.7502714440825,897.1465798045602,107.65767643865364
86,,,,,,,
87,317751.0,143359065.0,192086392.0,13887675.22,451.16794282315396,604.5186073371917,43.70615739997671
88,751693.0,204232828.5,158902637.2,,271.69712701861,211.39299847145043,
89,251449.0,67039154.0,85312278.0,9288648.71,266.6113366925301,339.28262987723156,36.94048777286846
90,27168.0,13529598.43,14539004.6,,497.99758649882216,535.1518183156654,
