,MM_smallgroup,Premium_smallgroup,Costs_smallgroup,Transfers_smallgroup,Premium_smallgroup_pmm,Costs_smallgroup_pmm,Transfers_smallgroup_pmm
65,56858.0,23571257.33,15482642.13,-5766680.6,414.5636028351331,272.30367107531043,-101.42250167082908
66,643960.0,247136971.0,182759020.0,-3316114.09,383.7768976333934,283.80492577178705,-5.149565330144729
67,160159.0,75268943.0,61608582.0,-2943564.31,469.9638671570127,384.6713703257388,-18.379012793536422
68,209696.0,81960440.16,56969383.84,-1635879.75,390.8536174271326,271.67606363497634,-7.8011967324126354
69,30897.0,11825395.28,8568661.96,-394940.49,382.73603521377476,277.3299012849144,-12.782486649189241
70,1923.0,1150057.0,358096.0,-169078.93,598.0535621424857,186.2173686947478,-87.9245605824233
71,40243.0,16373991.0,16011581.0,28711.53,406.8779912034391,397.87244986705764,0.7134540168476505
72,7695.0,3726017.91,3892673.192,621087.18,484.2128538011696,505.87046029889535,80.71308382066277
73,687016.0,300298888.2,222258814.0,947344.48,437.10610553466,323.5133010002678,1.3789263714382198
74,81542.0,42575263.0,42151404.0,2715286.61,522.126793554242,516.9287483750705,33.29923977827377
75,815709.0,358216073.8,255612228.4,18066220.34,439.14689405167775,313.3620303318953,22.14787422965788
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,1581.0,959145.0,544414.0,,606.6698292220113,344.34788108791906,
80,,,,,,,
81,,,,,,,
82,156344.0,63920056.36,53055270.38,-14809373.05,408.84240111548894,339.34957772604,-94.7230021618994
83,127194.0,61978942.2,51975877.87,-7270795.39,487.2788197556489,408.6346672799031,-57.163037486044935
84,665995.0,308737636.9,251945876.1,-3713490.75,463.57350565694935,378.29995135098613,-5.575853797701184
85,1618.0,934136.63,530822.3095,-266957.78,577.3403152039555,328.07312082818294,-164.99244746600743
86,9082.0,4136607.52,3912631.84,-125543.67,455.4731909271086,430.8116978639066,-13.8233505835719
87,19461.0,11047279.7,8297973.12,-59675.4,567.6624890807255,426.3898628025281,-3.066409742562047
88,7851.0,3469512.3,3137691.514,477019.49,441.919793656859,399.6550138835817,60.75907400331168
89,402628.0,187958460.6,174427257.4,5293151.42,466.82908441539087,433.2218757761507,13.146506005543579
90,150440.0,90514063.41,74179115.52,6196764.55,601.6622135735176,493.08106567402285,41.19093691837277
91,458553.0,260466006.4,210874696.6,14278900.63,568.0172333405299,459.869844052923,31.13904091784374
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,447410.0,186170523.1,125006402.6,-12225393.95,416.1072016718446,279.40010862519836,-27.324811582217652
97,98152.0,43913249.44,28750305.89,-2167698.98,447.40045480479256,292.9161493397995,-22.085122870649606
98,46433.0,17804041.0,12244483.0,-1659851.69,383.4350785002046,263.70217302349624,-35.7472420476816
99,6945.0,2584382.41,1924480.07,-521995.34,372.1212973362131,277.1029618430526,-75.16131605471563
100,9712.0,3865162.06,3125033.55,-278383.82,397.9779715815486,321.77034081548595,-28.663902388797364
101,1025.0,241680.99,66951.09,-208559.67,235.78633170731706,65.31813658536585,-203.47284878048782
102,10396.0,4641619.81,2893835.34,308133.57,446.4813207002693,278.36045979222774,29.639627741439014
103,431106.0,237284353.0,192253244.3,16753749.82,550.4083752023864,445.95353416561125,38.86225155762156
104,9415.0,4222229.82,2707148.92,-609891.66,448.4577610196495,287.5357323420074,-64.77872118959108
