,HIOS ID,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM
193,84600.0,973126.74,433125.62,,4206.0,231.36631954350926,102.97803613884926,,128.38828340466
196,79881.0,1004880.32,744221.72,,2469.0,406.9989145402997,301.42637505062777,,105.57253948967195
197,94720.0,1024179.0,356364.0,,3567.0,287.1261564339781,99.90580319596299,,187.22035323801512
198,27833.0,1074419.0,805083.7729999999,15156.6,4359.0,246.48290892406516,184.6946026611608,3.477081899518238,61.78830626290437
201,31234.0,1090739.163,264952.4377,,2472.0,441.2375254854369,107.18140683656958,,334.0561186488673
202,80698.0,1111782.0,870915.0,,4014.0,276.9760837070254,216.9693572496263,,60.00672645739908
203,97646.0,1211757.0,1391775.0,219541.22,3770.0,321.4209549071618,369.1710875331565,58.23374535809019,-47.750132625994695
204,41240.0,1287342.0,1027365.0,,3453.0,372.81841876629016,297.52823631624676,,75.2901824500434
205,72208.0,1290963.0,885947.0,,4031.0,320.2587447283552,219.78342842967007,,100.47531629868516
206,86382.0,1302976.93,532646.8603,-198355.63,3460.0,376.58292774566473,153.94417927745664,-57.328216763005784,222.6387484682081
207,73893.0,1333099.0,290994.0,,4129.0,322.86243642528456,70.47565996609349,,252.38677645919108
208,92045.0,1338745.0,5769734.255,800921.39,3529.0,379.35534145650325,1634.948782941343,226.95420515726835,-1255.5934414848398
209,54297.0,1340811.1,3373064.67,,3852.0,348.08180166147457,875.6658021806853,,-527.5840005192108
210,59765.0,1425086.0,2866986.0,574321.44,4960.0,287.3157258064516,578.021370967742,115.79061290322579,-290.70564516129036
211,69443.0,1504762.63,1154277.21,,3087.0,487.4514512471655,373.9155199222546,,113.5359313249109
212,25978.0,1515240.68,1064726.15,,2971.0,510.01032648939747,358.3729888926287,,151.63733759676876
213,59977.0,1528569.0,870690.0,-115565.12,5325.0,287.0552112676056,163.5098591549296,-21.702369953051644,123.54535211267603
214,97889.0,1533482.0,1673209.0,53220.61,6861.0,223.5070689403877,243.87246757032503,7.7569756595248505,-20.365398629937317
215,43129.0,1533659.0,1057078.33,43110.39,7350.0,208.66108843537415,143.82018095238095,5.865359183673469,64.8409074829932
216,57860.0,1549433.2,1348914.69,,2797.0,553.962531283518,482.27196639256346,,71.69056489095459
217,85266.0,1609053.0,2230101.0,248604.41,6053.0,265.8273583347101,368.42904344952916,41.07127209648108,-102.60168511481908
218,58819.0,1634836.0,611247.0,,5795.0,282.1114754098361,105.47834339948231,,176.6331320103538
219,93838.0,1660964.0,1537162.25,,4102.0,404.915650901999,374.7348244758654,,30.180826426133592
220,23468.0,1661454.27,1743140.996,-107296.38,6085.0,273.04096466721444,286.4652417419885,-17.63293015612161,-13.424277074774068
221,23620.0,1680029.72,1316539.32,,3219.0,521.9104442373408,408.9901584342964,,112.92028580304441
222,72564.0,1725306.0,2251799.65,-360466.32,4194.0,411.3748211731044,536.9097877920839,-85.9480972818312,-125.53496661897947
223,56971.0,1732269.0,1793096.0,-46632.1,7946.0,218.0051598288447,225.6602063931538,-5.8686257236345325,-7.655046564309089
